date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,AI,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,AI,,2,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
