date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,BL,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,BL,,0,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,BL,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,BL,,1,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,BL,,3,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,BL,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,BL,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,BL,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,BL,,4,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,BL,,6,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,BL,,9,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,BL,,17,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,BL,,18,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,BL,,18,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,BL,,21,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,BL,,25,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,BL,,40,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,BL,,52,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,BL,,75,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,BL,,83,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,BL,,97,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,BL,,130,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,BL,,155,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,BL,,195,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,BL,,226,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,BL,,275,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,BL,,300,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,BL,,322,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,BL,,358,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,BL,,408,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,BL,,456,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,BL,,489,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,BL,,530,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,BL,,553,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,BL,,562,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,BL,,599,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,BL,,630,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,BL,,648,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,BL,,666,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,BL,,687,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,BL,,702,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,BL,,712,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,BL,,730,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,BL,,751,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,BL,,766,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-09,,BL,,775,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-10,,BL,,779,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-11,,BL,,787,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-12,,BL,,794,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-13,,BL,,800,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-14,,BL,,818,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-15,,BL,,829,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-16,,BL,,837,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-17,,BL,,840,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-18,,BL,,842,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-19,,BL,,843,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-20,,BL,,849,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-21,,BL,,851,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-22,,BL,,852,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-23,,BL,,855,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-24,,BL,,857,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-25,,BL,,857,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-26,,BL,,858,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-27,,BL,,861,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-28,,BL,,865,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-29,,BL,,867,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-30,,BL,,869,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-01,,BL,,871,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-02,,BL,,872,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-03,,BL,,872,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-04,,BL,,873,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-05,,BL,,873,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-06,,BL,,874,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-07,,BL,,874,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-08,,BL,,874,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-09,,BL,,875,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-10,,BL,,875,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-11,,BL,,876,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-12,,BL,,876,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-13,,BL,,876,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-14,,BL,,876,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-15,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-16,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-17,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-18,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-19,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-20,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-21,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-22,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-23,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-24,,BL,,877,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-25,,BL,,878,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-26,,BL,,878,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-27,,BL,,880,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-28,,BL,,880,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-29,,BL,,881,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-30,,BL,,881,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-05-31,,BL,,882,,,,,,,https://www.covid19.admin.ch/en/overview,,,,,
