date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,SZ,,0,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,SZ,,2,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,SZ,,5,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,SZ,,5,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,SZ,,6,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,SZ,,6,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,SZ,,6,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,SZ,,6,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,SZ,,8,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,SZ,,9,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,SZ,,10,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,SZ,,17,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,SZ,,21,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,SZ,,25,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,SZ,,28,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,SZ,,43,,0,0,,,,https://www.covid19.admin.ch/en/overview,,,,,
