date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,TG,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,TG,,1,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,TG,,1,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,TG,,1,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,TG,,1,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,TG,,2,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,TG,,4,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,TG,,5,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,TG,,6,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,TG,,8,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,TG,,15,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,TG,,16,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,TG,,18,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,TG,,28,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,TG,,38,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,TG,,46,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,TG,,51,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,TG,,70,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,TG,,75,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,TG,,79,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,TG,,89,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,TG,,103,,0,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,TG,,110,,0,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,TG,,119,,0,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,TG,,136,,0,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,TG,,141,,0,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,TG,,144,,0,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,TG,,163,,10,10,,,4,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,TG,,175,,10,10,,,4,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,TG,,189,,10,10,,,5,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,TG,,203,,12,12,,,6,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,TG,,211,,15,15,,,7,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,TG,,217,,15,15,,,7,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,TG,,221,,15,15,,,8,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,TG,,241,,14,14,,,8,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,TG,,257,,15,15,,,8,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,TG,,264,,16,16,,,8,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-09,,TG,,276,,16,16,,,8,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-10,,TG,,282,,17,17,,,8,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-11,,TG,,285,,18,18,,,8,https://www.covid19.admin.ch/en/overview,,,,,
