date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF
2020-02-24,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-25,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-26,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-27,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-28,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-02-29,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-01,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-02,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-03,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-04,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-05,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-06,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-07,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-08,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-09,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-10,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-11,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-12,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-13,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-14,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-15,,UR,,0,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-16,,UR,,1,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-17,,UR,,4,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-18,,UR,,5,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-19,,UR,,5,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-20,,UR,,10,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-21,,UR,,12,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-22,,UR,,19,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-23,,UR,,26,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-24,,UR,,32,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-25,,UR,,35,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-26,,UR,,40,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-27,,UR,,46,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-28,,UR,,49,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-29,,UR,,51,,0,0,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-30,,UR,,55,,6,1,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-03-31,,UR,,57,,7,1,,,0,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-01,,UR,,60,,6,1,,,1,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-02,,UR,,63,,6,5,,,1,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-03,,UR,,65,,5,1,,,1,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-04,,UR,,65,,6,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-05,,UR,,65,,5,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-06,,UR,,68,,4,0,,,2,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-07,,UR,,68,,4,1,,,3,https://www.covid19.admin.ch/en/overview,,,,,
2020-04-08,,UR,,70,,2,0,,,4,https://www.covid19.admin.ch/en/overview,,,,,
